"category","relative_path","bytes","pages","pdf_header","pdfinfo_status","sha256","modified_local"
"00_background","papers/00_background/MemoryCraft_VLDB_Submission_Sept.pdf","1305362","19","True","ok","82f96bf1b9e86ac206b31de4df50744b1b69230dbcd3b169a51a5d9b8a3d2289","2026-08-12T12:11:29+08:00"
"01_model_routing","papers/01_model_routing/2024_FrugalGPT.pdf","1171365","13","True","ok","035ae8b90333dad8b7817fc8f55e7c4cbca435368c5c1a4dbf7bba9e5db87473","2026-08-17T14:27:15+08:00"
"01_model_routing","papers/01_model_routing/2025_RouteLLM.pdf","809166","16","True","ok","c9bc9c8171cab95bb3832cde8767c6b5e0925cd62930e51ddbd60d7cb2616741","2026-08-17T14:27:18+08:00"
"01_model_routing","papers/01_model_routing/2025_Router_R1.pdf","943614","26","True","ok","178736092d1b93396b3dc0e273e5c90e0ca42f02958516138f47fb3959cdfcc2","2026-08-17T14:27:34+08:00"
"01_model_routing","papers/01_model_routing/2026_HyDRA.pdf","707860","24","True","ok","80820549216b5b438c78c792b9b257e87116900eee160994d4eba475b98021e0","2026-08-17T14:27:32+08:00"
"01_model_routing","papers/01_model_routing/2026_LLMRouterBench.pdf","4813878","21","True","ok","c18dd0d6289e9edce33aeafc9f45f9c38c72cc120ed47d4d89054a4e74cfcaff","2026-08-17T14:27:25+08:00"
"01_model_routing","papers/01_model_routing/2026_Models_Under_SCOPE.pdf","4205092","31","True","ok","514b8887467c58caea64fa170ad6a174b4e0dc503e1438cab4d5d8d5543124da","2026-08-17T14:27:30+08:00"
"01_model_routing","papers/01_model_routing/2026_R2_Router.pdf","1702748","14","True","ok","1b693b0dc5b19555c7fa6333aa22c943bfc94890fbf7118dab6c7481b723580f","2026-08-17T14:27:39+08:00"
"02_agent_routing","papers/02_agent_routing/2025_Aragog.pdf","684616","15","True","ok","f806d38cda9ff557171093bd572ecf0e0b52dac3ea139ffd09ec89eca8037af7","2026-08-17T14:40:25+08:00"
"02_agent_routing","papers/02_agent_routing/2026_Agent_as_a_Router.pdf","4210614","39","True","ok","1eda4f453a611356b553ef5ba0f82351ef0cf54d46e281e36f0bedfaaf93255d","2026-08-17T14:28:15+08:00"
"02_agent_routing","papers/02_agent_routing/2026_Agentic_Routing_Harness_Native.pdf","2358971","33","True","ok","d3c2a6969790eba66fff276b7f7ff9ed2482770852b547ad1be2c19027afe540","2026-08-17T14:27:52+08:00"
"02_agent_routing","papers/02_agent_routing/2026_Budget_Aware_Agentic_Routing.pdf","518566","16","True","ok","b2983f5648052e36a6d3a7f2bf941d976ebc250ae2de34d9e56f23a9451af877","2026-08-17T14:27:54+08:00"
"02_agent_routing","papers/02_agent_routing/2026_EASy.pdf","11016306","42","True","ok","9c9316e22e9c93e74e03e02da6aabc4eff11d658eaad58ed743f2e895f94c624","2026-08-17T14:28:06+08:00"
"02_agent_routing","papers/02_agent_routing/2026_GraphPlanner.pdf","1646160","32","True","ok","448c283c0e86a2ab9a273b16fe0d742bc8b089a715e3ad9c0f55c6c4a0b93477","2026-08-17T14:28:08+08:00"
"02_agent_routing","papers/02_agent_routing/2026_Iterative_Critique_Routing.pdf","1356623","24","True","ok","07d577830004e249cd0f53c8cd476450cbd28ca0e836c43db3716cd7d74873da","2026-08-17T14:28:10+08:00"
"02_agent_routing","papers/02_agent_routing/2026_MTRouter.pdf","2019376","21","True","ok","339973fb8e766c652aa9f990e90197db735a01e6ee574ab6178db7ddec7d0581","2026-08-17T14:27:43+08:00"
"02_agent_routing","papers/02_agent_routing/2026_SWE_Router.pdf","670437","10","True","ok","f55db25135d0d28c601a4ac93c730076001ba93806d30047ea7befc4379dcc32","2026-08-17T14:27:47+08:00"
"02_agent_routing","papers/02_agent_routing/2026_TRACE_Router.pdf","1290502","13","True","ok","34f702b6b45e28288c00feeb060b9c85dbd80ece1912447c04c65ce33337237a","2026-08-17T14:27:45+08:00"
"02_agent_routing","papers/02_agent_routing/2026_TwinRouterBench.pdf","725490","24","True","ok","3c4b038c04d1ed6b3c144ff2c2272c2713eebd25044eacd32f8522e4c3120ff9","2026-08-17T14:27:49+08:00"
"03_harness_systems","papers/03_harness_systems/Agentic_Routing_Harness_Native_Data_Flywheel_arXiv2607.11399v1.pdf","2358971","33","True","ok","d3c2a6969790eba66fff276b7f7ff9ed2482770852b547ad1be2c19027afe540","2026-08-17T14:45:32+08:00"
"03_harness_systems","papers/03_harness_systems/AppWorld_ACL2024.pdf","4347939","55","True","ok","6a995817d25ce1c4c5e102dd8c907b3b07e1028f1456f65a0f470bee98007e36","2026-08-17T14:48:05+08:00"
"03_harness_systems","papers/03_harness_systems/tau2_bench_arXiv2506.07982.pdf","1243001","47","True","ok","0817e3fd33915326180d548caa900dcc5cba42ded27688105d8ce2f7e73aad84","2026-08-17T14:47:20+08:00"
"03_harness_systems","papers/03_harness_systems/vLLM_Semantic_Router_arXiv2603.04444.pdf","28971129","61","True","ok","dd5e435440a28e8c7b8bd5a6e8c8065d6a528b3755e2652b79d06ced15ca398a","2026-08-17T14:46:40+08:00"
"03_harness_systems","papers/03_harness_systems/vLLM_WRP_Vision_arXiv2603.21354.pdf","1084759","45","True","ok","f8fea49709ec0a8cceae977d45b95ba84abda182b255d35fcd71f6fe8d9e5aac","2026-08-17T14:46:42+08:00"
"04_trajectory_distillation","papers/04_trajectory_distillation/2023_FireAct_arXiv2310.05915.pdf","785239","28","True","ok","f25210a50e197285f404c5a17e437fa93c21f3ab6a9db8687985b6d8613a773f","2026-08-17T14:29:17+08:00"
"04_trajectory_distillation","papers/04_trajectory_distillation/2024_ETO_ACL.pdf","2044057","17","True","ok","63bad5458845c942dafa9734ad80ee3c65f9cea04afc28e5fbb3f6e9628a10f3","2026-08-17T14:29:55+08:00"
"04_trajectory_distillation","papers/04_trajectory_distillation/2024_MAGDi_ICML.pdf","1913151","16","True","ok","dc1a7f21536b8e044871d9aa823e45495e64940361fab4a8a6cc77894696c3ac","2026-08-17T14:31:06+08:00"
"04_trajectory_distillation","papers/04_trajectory_distillation/2024_ToolLLM_ToolBench_ICLR.pdf","2048075","24","True","ok","295299721d67b250661fb6598bee86a2e9fe766241fdc08dd7cf389e984b4d1a","2026-08-17T14:30:56+08:00"
"04_trajectory_distillation","papers/04_trajectory_distillation/2024_ToolPreference_TP-LLaMA_NeurIPS.pdf","1645349","20","True","ok","129c1cc1c0b966c389929135d5ca59980ee0c61a933f1568dab916f665799f97","2026-08-17T14:31:00+08:00"
"04_trajectory_distillation","papers/04_trajectory_distillation/2025_Agentic_Plan_Caching_NeurIPS.pdf","839168","27","True","ok","f3968cfa5142fdf55adc834e8ada19b1ab1ccc81c7a3291b9166b4ca52e6637f","2026-08-17T14:29:24+08:00"
"04_trajectory_distillation","papers/04_trajectory_distillation/2025_AgentRefine_ICLR.pdf","1216481","20","True","ok","1f4570144eaea3f1bd4ac97b362b08784ca1cde4d116656d002bd1ca23e20200","2026-08-17T14:31:02+08:00"
"04_trajectory_distillation","papers/04_trajectory_distillation/2025_Exploring_Expert_Failures_arXiv2504.13145.pdf","580414","21","True","ok","05388c16a22ed15cbdded054b6b550e8e8fe6c3243f4b1f1bd4b6db339dc0a7c","2026-08-17T14:32:59+08:00"
"04_trajectory_distillation","papers/04_trajectory_distillation/2026_AgentArk_arXiv2602.03955.pdf","1777448","32","True","ok","76c46555e41da9b1dd411d000ff31d2ecbcd6c6189f94a7d1e50cc3b4ef14601","2026-08-17T14:29:37+08:00"
"04_trajectory_distillation","papers/04_trajectory_distillation/2026_ClawTrace_arXiv2604.23853.pdf","4220511","14","True","ok","49098ff67e2cf76f9621e8690f778f2e95c82bac83e4db807a77fdda095caa34","2026-08-17T14:29:47+08:00"
"04_trajectory_distillation","papers/04_trajectory_distillation/2026_ProAct_arXiv2602.05327.pdf","1220888","22","True","ok","764794b51e9509dba6080099e131fbb8df72a67e8755734c1df7efe1f0e545d7","2026-08-17T14:29:30+08:00"
"05_theory_methods","papers/05_theory_methods/1953_Blackwell_Equivalent_Comparisons.pdf","794785","8","True","ok","f490b8395187edc34ab46a3d45455f1f59cbbc9632964c63218a2f4c8ba8cd1d","2026-08-17T14:40:27+08:00"
"05_theory_methods","papers/05_theory_methods/1991_Principles_of_Metareasoning_abstract_only.pdf","123728","1","True","ok","957ade260771c5ff84ed17210896806535b0198e192b3f7de93d40937bcc01a5","2026-08-17T14:40:29+08:00"
"05_theory_methods","papers/05_theory_methods/1999_Options_SMDP_Sutton_Precup_Singh.pdf","829204","31","True","ok","124fbfc2a35d22a08d80abf3298d6c24ed87bc972e5cdd8847f0342740bd3485","2026-08-17T14:32:05+08:00"
"05_theory_methods","papers/05_theory_methods/2000_Information_Bottleneck.pdf","136267","16","True","ok","afdbc45366b590086e34faef76ad0570885884489ed32233c8571912ef92ef47","2026-08-17T14:30:12+08:00"
"05_theory_methods","papers/05_theory_methods/2006_State_Abstraction_MDP.pdf","307868","10","True","ok","647308a72fe5a2f692089f1672ce570722b0b51eb3f5f18a0420561b96628dcd","2026-08-17T14:30:14+08:00"
"05_theory_methods","papers/05_theory_methods/2010_Unbiased_Offline_Evaluation_Contextual_Bandit.pdf","319760","10","True","ok","ea72ce425888ae8adba1957a9f0acbef7ed0dc232a52982b9e7424d7ef73ae19","2026-08-17T14:30:17+08:00"
"05_theory_methods","papers/05_theory_methods/2011_Doubly_Robust_Contextual_Bandit.pdf","116595","8","True","ok","b63fd729da1750f709e4867fbff49a62a47d08f7167c202a4ba2791a5816174e","2026-08-17T14:30:16+08:00"
"05_theory_methods","papers/05_theory_methods/2016_Doubly_Robust_OPE_RL.pdf","500519","14","True","ok","df2a2a5c0e5eb6545413143ad44ea185bc97d7f08d56d2308263825791e459e9","2026-08-17T14:31:09+08:00"
"05_theory_methods","papers/05_theory_methods/2017_Option_Critic_AAAI.pdf","815129","9","True","ok","d8089c6012c607f3a9e8b560290dea629c91b174e246e18864ac6615467e208f","2026-08-17T14:31:08+08:00"
"05_theory_methods","papers/05_theory_methods/2018_Deliberation_Cost_AAAI.pdf","928893","8","True","ok","552ab27409772a04040714533ae827cae0775e2a069cb2df46af35f397184ce2","2026-08-17T14:30:11+08:00"
"05_theory_methods","papers/05_theory_methods/2018_Learning_to_Select_Computations_UAI.pdf","2591204","10","True","ok","e8b2aa2b2229f75080f1fcd923b0230b84ba96ab6ac0b929db1af268d4e9e7bb","2026-08-17T14:30:32+08:00"
"05_theory_methods","papers/05_theory_methods/2026_Common_Random_Numbers_Rollouts.pdf","1609825","17","True","ok","24bdf61810876afc09be78e7ba9313ce4302a3772e597b830a21cc303a6a9c11","2026-08-17T14:41:39+08:00"
"05_theory_methods","papers/05_theory_methods/2026_Event_Keyed_Common_Random_Numbers.pdf","684726","20","True","ok","b6f4e4fda29f75b4e08b2df8c42f51d436b1db50b74c15728c5be4772e568390","2026-08-17T14:41:22+08:00"
"06_benchmarks","papers/06_benchmarks/2024_AppWorld_ACL.pdf","4347939","55","True","ok","6a995817d25ce1c4c5e102dd8c907b3b07e1028f1456f65a0f470bee98007e36","2026-08-17T14:41:57+08:00"
"06_benchmarks","papers/06_benchmarks/2024_SWE_bench_ICLR.pdf","4533722","52","True","ok","f7e8e1df64129742b8199a21a042734519a823a1dafd6f48f8f3ddcfb48ee296","2026-08-17T14:41:41+08:00"
"06_benchmarks","papers/06_benchmarks/2025_tau2_Bench.pdf","1243001","47","True","ok","0817e3fd33915326180d548caa900dcc5cba42ded27688105d8ce2f7e73aad84","2026-08-17T14:41:32+08:00"
"README.md","papers/README.md","1266",,"False","not-pdf","a1f58074dbd8647083f7a843c132c8083c91f1a0316e7525fb42145df0f7539a","2026-08-17T14:32:23+08:00"
"SHA256SUMS_C.txt","papers/SHA256SUMS_C.txt","3384",,"False","not-pdf","14f434e41e2acf766332eb044d4ece99df3b3a992d9b05848b0a1495e31cbd21","2026-08-17T14:51:30+08:00"
